ID,PearsonCorr,BVol,GVol,WVol,ThicknessSum
3206375,0.813145,1138310,380481,331333,970452
3207087,0.809691,1355380,444092,409078,1086860
3208490,0.763443,1435350,450606,441798,1142090
3208535,0.784955,1290580,411612,396929,951862
3208706,0.818986,1208710,395859,340584,974876
3209392,0.795883,1206760,402560,346828,1036000
3210471,0.833429,1338740,445124,382263,1243190
3210521,0.821601,1644100,588104,495677,1798450
3210656,0.800394,1337700,431816,386519,1109050
3210855,0.799865,1376890,413263,436677,890342
3211252,0.813602,1454630,457033,436949,1154350
3211477,0.798748,1339050,447443,379265,1190290
3211734,0.798919,1496130,477063,426707,1238300
3212043,0.791689,1342190,441392,404059,1117440
3212176,0.792699,1236440,392987,390890,958546
3212955,0.816555,1328530,424379,402825,1042690
3213359,0.833980,1341380,474821,406918,1394930
3213774,0.800695,1456470,478872,438411,1245100
3213801,0.794029,1497390,496151,453081,1308800
3214160,0.798804,1287590,421754,385952,1034640
3214426,0.817316,1300190,441322,393536,1166470
3214535,0.814425,1437580,450671,448822,1108950
3214785,0.815799,1339950,460492,418779,1256460
3214961,0.814748,1345540,439069,387705,1081890
3214983,0.777386,1297550,431655,385249,1130130
3215620,0.798111,1690040,553247,528883,1448440
3215857,0.805666,1509620,505534,440914,1403780
3216614,0.827549,1216830,422621,337533,1142500
3216721,0.813114,1636710,564799,515366,1596830
3216802,0.842323,1532380,540639,424088,1493740
3217149,0.802772,1351070,445912,393554,1120230
3217283,0.791054,1435520,484003,434893,1287790
3217624,0.793785,1304540,431069,407869,1097470
3217979,0.808107,1274880,430603,402652,1155310
3217988,0.826126,1472980,483496,438674,1253410
3218065,0.782484,1393440,428299,418667,1048120
3218383,0.796759,1229130,410184,352832,1068390
3218612,0.840150,1303820,448856,383738,1179700
3218737,0.812517,1375530,440309,420725,1030610
3218956,0.816433,1517920,504254,474232,1317070
3219719,0.829687,1339990,485540,397460,1447980
3219854,0.824768,1531380,513712,456818,1232090
3220345,0.772298,1320780,441242,394253,1157100
3220509,0.814095,1452350,485633,454698,1256970
3220723,0.812469,1273990,424413,373494,1116760
3221372,0.773252,1221740,384789,373839,906735
3221526,0.769910,1266320,425649,370570,1092300
3221534,0.817548,1173900,384458,368520,948027
3222331,0.800031,1507160,503417,430736,1279170
3222404,0.832648,1314450,412608,386772,975427
3222502,0.814041,1497550,484413,458270,1261580
3222603,0.770987,1289590,409548,400561,994741
3222807,0.813114,1288700,413209,392128,1050880
3223070,0.808622,1294590,444264,376562,1165550
3223266,0.763031,1330590,436351,385099,1126440
3223271,0.826737,1402000,495111,406363,1423570
3223587,0.809485,1632960,524438,493441,1322970
3223808,0.777133,1544700,479939,469980,1162150
3224147,0.809740,1597260,529866,477997,1420880
3224150,0.772426,1438330,443898,465459,1016730
3224351,0.771458,1268730,398852,395600,933172
3224799,0.767664,1478490,471751,443106,1091980
3225076,0.814458,1373570,467575,379190,1311850
3225260,0.782859,1390410,467614,417511,1248210
3225357,0.828156,1400640,475727,403504,1238440
3225789,0.753368,1329120,436747,399124,1081030
3226431,0.831412,1329060,454442,385870,1273240
3226568,0.816767,1292510,419379,375403,1148890
3226874,0.764993,1448850,475082,459367,1223950
3226920,0.806534,1449890,482613,422536,1313580
3227040,0.829023,1508210,512602,453522,1435770
3227117,0.837316,1776280,614945,531927,1744800
3227128,0.830266,1494140,533048,455392,1524780
3227487,0.798743,1576820,523800,451991,1330110
3227561,0.786929,1360000,468078,378425,1277050
3227631,0.774274,1451720,450891,427584,985715
3227765,0.787942,1229680,367146,397610,803121
3228063,0.810990,1411980,432110,407641,1028650
3228267,0.813847,1624160,543518,461233,1458380
3228306,0.836956,1154740,419614,372648,1230160
3228824,0.842344,1437550,474760,413502,1271840
3229079,0.793742,1381360,436407,425248,1032990
3230218,0.796996,1477680,473028,452453,1112270
3231096,0.802736,1530180,501120,420914,1345160
3231125,0.832932,1505960,519563,425481,1450530
3231989,0.769106,1338010,409939,424830,960432
3232083,0.825793,1342190,452685,379219,1185880
3232468,0.783006,1536770,479907,476563,1153440
3232645,0.806658,1544780,509351,473323,1333780
3233169,0.821770,1390510,449062,417937,1102620
3233174,0.828981,1452320,491540,441028,1306670
3233526,0.844605,1298100,447107,367716,1212350
3233857,0.799312,1445030,471970,437442,1149590
3233938,0.820293,1301910,434481,419078,1116210
3234170,0.833346,1333090,423157,417859,999138
3234210,0.831156,1267200,426794,341673,1127140
3234414,0.779149,1343780,426160,408873,1005270
3234450,0.813477,1454440,464834,461076,1177400
3234473,0.833492,1621770,563329,473486,1523150
3234869,0.792218,1675060,514500,511668,1224110
